"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value"
"fybsgSGD","SGD",18802,19749.99,21107.98,18802,34.7,671577.36,0.75,14069.98,14779.39
"localbtcTHB","THB",533999,432759.05,554279.03,519968.07,11.14,5487386.27,0.03,16410.54,13299.29
"localbtcSGD","SGD",24450,18114.06,39038.71,19896.42,3.18,65326.35,0.75,18296.52,13555.18
"localbtcHKD","HKD",132000,108581.1,128021.64,118598.08,8.71,935077.99,0.13,16898.37,13900.33
"localbtcILS","ILS",47348.52,47803.79,66900.01,66900.01,0.01,500,0.29,13624.67,13755.68
"localbtcCZK","CZK",264383.6,294412.08,356147.93,356147.93,0.01,5000,0.05,12426.38,13837.76
"localbtcMXN","MXN",375948.86,248126.25,360576.92,332912.31,1.1,319938.37,0.05,19135.18,12629.22
"localbtcCHF","CHF",18538.46,13296.55,14896.31,14663.19,0.08,990.83,1.03,19037.16,13654.24
"vcxUSD","USD",1501,6500,6500,6500,0,12.68,"N/A","N/A","N/A"
"rockUSD","USD",12900,13499.99,13580,12701,2.48,32337.39,"N/A","N/A","N/A"
"lakeUSD","USD",13374.83,13401.65,14255.47,13374.8,158.46,2164896,"N/A","N/A","N/A"
