"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"localbtcVND","VND",342157254.48,374940614.41,,,387020306.47,318450206.67,,1.34913415,503763523.84214294
"bitxIDR","IDR",239000000,240000000,,,252216000,239897000,,2.943073,714980571.47
"bitxMYR","MYR",69477,69478,,,69478,69478,,161.738159,10948011.084664
"bitxNGN","NGN",5601251,5601252,,,5878000,5601252,,40.985736,231875062.289281
"bitxZAR","ZAR",214499,214500,,,222995,214500,,1140.505048,240696691.961641
"krakenJPY","JPY",1725186,1798989,,,1816895,1799987,,9.86673183,16625926.74829014
"cexUSD","USD",16144.47,16173.58,,,16500,16213.16,,2198.390495,35153135.271871805
"krakenXRP","XRP",103600.64,104931.794,,,,103842.161,,0,0
"krakenNMC","NMC",1186.11298,1271.46,,,,1271.46148,,0,0
"krakenKRW","KRW",495000,545000,,,,525142,,0,0
"justUSD","USD",290,450,,,,303.132,,0,0
"crytrUSD","USD",242.99900009,264.99999999,,,,625,,0,0
"cotrUSD","USD",411.4,473.99,,,,391.98,,0,0
"coinbaseCAD","CAD",855,861.74,,,,861.74,,0,0
"bitfinexUSD","USD",614.44,614.45,,,,853.48,,0,0
"bitcurexUSD","USD",615.03,642.8355,,,,629.1547,,0,0
"exmoUSD","USD",778.59,782,,,,782.324888,,0,0
"exmoRUB","RUB",47468.0010101,47619.9989899,,,,47435.0010101,,0,0
"exmoEUR","EUR",736.186,739.979,,,,737.571,,0,0
"cexEUR","EUR",13052.24,13192.01,,,13348.63,13193.66,,233.5088593,2974881.650003994
"cexRUB","RUB",951047.03,999888.74,,,1017776.63,951047.02,,6.75690913,6457938.6035343995
"coinsbankUSD","USD",14516.98,15000,,,15033.44,14772.65,,2099.4285,29427106.934585
"coinsbankEUR","EUR",12189.15,12697.26,,,13049.55,12435.84,,1553.4294,18271394.423323
"coinsbankGBP","GBP",10416.16,11750.48,,,11356.43,11112.41,,1755.7535,18441241.430484
"coinsbankRUB","RUB",841100,876000,,,861100,859600,,1633.76326,1328758832.832
"allcoinUSD","USD",16500,17350,,,,16500,,0,0
"btc2uBRL","BRL",654.5004,659.99,,,,654.5,,0,0
"bcEUR","EUR",12211,12300.03,,,13383.46,12300.03,,15.90366488,197992.950376172
"bitflyerJPY","JPY",1748090,1749874,,,1760080,1760000,,22328.94968093,37421223686.55527
"chilebitCLP","CLP",10110000,11846000,,,11885990,9981200,,0.16053336,1757255.4353642
"urdubitPKR","PKR",1898650,1908950,,,1939993,1908950,,6.71053083,12519870.919829
"surbtcVEF","VEF",70600003,81999999,,,,70600101,,0,0
"getbtcUSD","USD",9844.98,9876.69,,,16258.08,15029.3,,654.40081556,9362378.127601964
"vbtcVND","VND",359337800,360000000,,,376990000,360000000,,23.76190615,8526109014.695669
"foxbitBRL","BRL",51640,51797.97,,,53999,51856.45,,940.35612355,47405846.74522397
"btcboxJPY","JPY",1756174,1758867,,,1940000,1765050,,18349.8761,30733449112.9566
"zaifJPY","JPY",1760015,1761500,,,1775780,1766240,,10526.4141,17692515066.462
"okcoinUSD","USD",15776.29,15867,,,15965.73,15784.37,,182.33611,2708461.293171
"bitmaszynaPLN","PLN",52873.81,52873.82,,,56800,52818.11,,2.38072356,124802.4209867581
"indacoinUSD","USD",20000,,,,,7500,,0,0
"krakenGBP","GBP",2990,3239.999,,,,3018,,0,0
"localbtcVEF","VEF",2155000000,151062.03,,,2470844040.32,1544400016.42,,42.29526997,67399807103.39365
"wexUSD","USD",14850.01,14871,,,14944.417,14928.422,,823.00528038,11706790.641440412
"coinfalconEUR","EUR",13052.24,13192.21,,,13312.83,13051.02,,221.27981845,2816394.7705035
"wexEUR","EUR",12691.76774,12783.03093,,,12917.72307,12765.42559,,48.20527098,593430.2103360565
"wexRUB","RUB",867000,870400.45,,,874820.7577,866000,,69.24641226,58142721.599888414
"fiscoJPY","JPY",1761420,1761480,,,1775780,1766240,,10525.5071,17690983706.173
"remitanoVND","VND",435728952.45,422740794.925,,,,153045823.046,,0,0
"abucoinsUSD","USD",14975.11,15741.68,,,15855.85,15307.47,,16.08510087,246889.6031124964
"abucoinsPLN","PLN",53000,54532.9,,,56620.49,53766.44,,25.41764833,1345195.1750779857
"abucoinsEUR","EUR",12860.11,13189.6,,,13251.73,12982,,6.68132494,85199.3204710585
"anxhkAUD","AUD",512.20317,541.92942,,,,333.84754,,0,0
"anxhkCHF","CHF",175.21825,223,,,,217.2411,,0,0
